,state_name,total_households_applied_for_job_card,total_job_cards_issued,total_job_cards_(sc),total_job_cards_(st),total_job_cards_(non-sc/st),total_households_demanded_work,total_persons_demanded_work,total_households_allotted_work,total_persons_allotted_work,total_muster_rolls_filled,total_households_worked,total_persons_worked,total_households_reached_100_day_limit,total_persons_with_disability,total_households_worked_(non-sc/st),total_person-days_worked_(non-sc/st),total_sc_households_worked,total_person-days_worked_by_scs,total_st_households_worked,total_person-days_worked_by_sts,total_land_reform/iay_households_worked,total_person-days_worked_by_women,total_person-days,total_sc_households_over_100_day_limit,total_st_households_over_100_day_limit,total_households_demanded_work,total_persons_demanded_work,total_households_worked,total_persons_worked,"labour_exp._(disbursed,_rs._in_lakhs)","material_exp._(disbursed,_rs._in_lakhs)","labour_exp._(disbursed_+_pending,_rs._in_lakhs)","material_exp._(disbursed_+_pending,_rs._in_lakhs)",amount_sanctioned_(rs._in_lakhs),total_works,total_bank_accounts,total_individual_bank_accounts,total_joint_bank_accounts,amount_disbursed_to_bank_accounts,total_post_office_accounts,total_individual_post_office_accounts,total_joint_post_office_accounts,amount_disbursed_to_post_office_accounts,year,month
20,GOA,36821,33107,789,9592,22726,6579,6749,6536,6703,1256,6463,6624,6,3,4268,65954,186,4357,2009,29098,10,78224,99409,1,1,367,374,367,2718,233.58,45.7,243.75,46.1,697996.71,5180.0,19701,19458,243,23065779,5,5,0,0,2017-2018,January
21,GUJARAT,3648702,3533089,237694,1341582,1953813,1017117,1722431,1014988,1718219,762469,861167,1393801,11183,10283,436474,18487115,47147,2155742,377546,14665988,30809,14738278,35308845,864,4550,247112,343426,203396,3589477,63643.95,21334.24,63952.75,21723.02,186841163.34,1978363.0,2951544,2593677,357867,5924156326,636324,425354,210970,41135672,2017-2018,January
22,HARYANA,886781,885730,383850,76,501804,322027,494071,321624,493451,131592,272856,396050,3924,638,134599,4729233,138234,4307169,23,717,3924,4395377,9037119,1530,1,85602,117941,66313,806835,24827.87,5217.63,24875.99,5260.21,14586009.11,209161.0,1076455,1028679,47776,2580829099,25261,21927,3334,21045348,2017-2018,January
23,HIMACHAL PRADESH,1227036,1210914,324545,73942,812427,550764,736464,550633,736236,302089,511366,671046,14094,1439,333020,14198057,141952,6126270,36394,1681413,7943,13551403,22005740,3853,1545,140970,161992,122299,1873940,39578.27,13179.89,39581.69,13197.21,82318016.06,860628.0,1358787,1309078,49709,3873805294,9886,9667,219,4475686,2017-2018,January
24,JAMMU AND KASHMIR,1252366,1185529,76730,166115,942684,759419,1164694,758573,1163191,435315,682262,1011224,35961,5024,539803,29529787,38614,1861968,103845,5698667,5905,10409737,37090422,1703,5716,238737,323266,237376,5370239,63159.67,42790.77,66255.58,72168.22,244200484.8,686649.0,1657969,1652333,5636,5106168174,1165,1141,24,456778,2017-2018,January
25,JHARKHAND,4396694,4119647,483490,1407972,2228185,1876648,2712812,1875881,2711570,2805954,1444548,1908209,57524,7253,843857,35726580,163674,6549812,437017,16997969,17498,22129540,59274361,6527,16986,461234,583228,301994,3683430,99643.12,43110.37,100911.59,44679.88,89056842.53,4729795.0,3880152,3821494,58658,9116328776,543046,459451,83595,175431,2017-2018,January
26,KARNATAKA,5561963,5527003,935639,461382,4129982,2152259,4624032,2092005,4423358,1449295,1902386,3890970,29985,8244,1406739,63512566,321855,14207804,173792,7979099,45194,40391589,85699469,4540,2367,389967,658791,309464,5354567,201682.07,88212.8,203321.13,93563.9,43236293964.98,4831294.0,9286803,8580282,706521,18806599854,252985,135390,117595,0,2017-2018,January
27,KERALA,3348230,3335989,418010,110489,2807490,1470071,1672181,1469970,1672016,2041510,1311681,1471107,117370,1771,1046459,48884589,208582,10035604,56640,3039257,20753,56236206,61959450,18062,6609,854298,919132,783000,9355094,163073.4,13361.47,163091.64,13530.94,124893463.74,2486977.0,3183690,3172473,11217,15866290171,50605,50527,78,70646347,2017-2018,January
28,ANDAMAN AND NICOBAR,35514,35513,4,3934,31575,2573,2941,2534,2901,1355,2482,2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,34445,33591,854,4813210,206,205,1,0,2017-2018,January
29,DADRA & NAGAR HAVELI,9141,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2017-2018,January
30,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,January
31,LAKSHADWEEP,8182,8002,9,7902,91,251,253,220,221,93,141,142,1,4,1,13,0,0,140,5884,0,1189,5897,0,1,67,67,40,723,13.63,1.59,13.63,1.68,1135.59,893.0,3431,3419,12,1362513,4181,4168,13,0,2017-2018,January
32,NAGALAND,432645,428835,3657,410023,15155,385880,411230,384555,408934,9388,381170,404241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,57183,56552,631,186972782,6,6,0,16684,2017-2018,January
33,MADHYA PRADESH,6819256,6701624,1136316,2184084,3381224,4017833,7654649,4005051,7623930,5491040,3480571,6098330,134691,57967,1722362,83835040,573342,27156840,1184867,51254322,59050,60635803,162246202,23364,28747,1179673,1772844,991948,14139576,272088.01,130572.95,272512.05,131240.3,1382848631.93,7383541.0,9265181,7912032,1353149,24620178583,303656,249741,53915,352462423,2017-2018,January
34,MAHARASHTRA,8943238,8417902,804545,1164780,6448577,1874365,3634010,1871573,3627840,1787333,1697606,3139897,201459,19786,1200670,57986099,172372,7987841,324564,16558188,50796,37538984,82532128,17784,42711,512019,919506,447478,7748905,156298.66,60061.71,157240.24,66368.98,719010949.87,4132257.0,6220217,5695126,525091,14845620243,1297082,1266442,30640,317545319,2017-2018,January
35,MANIPUR,550053,548209,15049,245826,287334,501231,546513,498789,543405,121275,491026,527178,1,1154,241793,3239458,14331,194630,234902,2690861,601,2745172,6124949,0,0,122188,123482,115873,475736,11456.07,6792.4,11497.76,6800.43,13438668.29,134384.0,484986,461775,23211,708880592,26901,23292,3609,278256,2017-2018,January
36,MEGHALAYA,538000,534342,3882,497404,33056,436284,607828,436180,607691,286889,426881,591429,114987,605,26839,1442243,2985,161362,397057,27583952,4074,13660618,29187557,212,112429,207964,255069,210032,3911029,72484.27,36585.45,72489.65,36756.03,7439736.66,271201.0,488176,394724,93452,4529196091,5077,4673,404,4807016,2017-2018,January
37,MIZORAM,191326,191322,38,189848,1436,190930,207357,190920,207340,93601,190894,207234,0,113,1315,90587,35,2546,189544,14345025,3418,4899110,14438158,0,0,110881,110886,110704,716710,17162.12,2107.3,17495.2,2118.33,2219408.27,111936.0,210957,196679,14278,1589658222,2,2,0,0,2017-2018,January
38,ANDAMAN AND NICOBAR,35514,35513,4,3934,31575,2573,2941,2534,2901,1355,2482,2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,34445,33591,854,4813210,206,205,1,0,2017-2018,January
39,DADRA & NAGAR HAVELI,9141,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2017-2018,January
40,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,January
41,LAKSHADWEEP,8178,8008,9,7909,90,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2017-2018,January
42,NAGALAND,431925,431478,3731,412269,15478,413820,461679,412990,460839,20517,409757,453580,138,119,15232,680700,3621,211283,390904,19111258,265,5753281,20003241,0,131,285247,285371,183136,1496488,58371.59,35423.63,63274.38,38883.47,14700132.5,57242.0,166574,164666,1908,1465189966,203,203,0,60452,2017-2018,January
43,ODISHA,6378365,6326950,1141842,1723627,3461481,2568248,4430118,2564701,4422709,3885990,2306678,3754645,68070,9328,1133129,43049076,398970,15292995,774579,33869177,53262,38600044,92211248,10149,28123,574655,843837,537178,7874125,173100.62,63244.32,174899.32,63785.79,178547800.71,4983954.0,6870566,6531376,339190,15690771589,884557,664467,220090,501300427,2017-2018,January
44,PUDUCHERRY,66136,63838,18012,89,45737,42856,49471,42850,49461,1638,37664,41448,20,73,26102,484461,11510,240797,52,983,47,627017,726241,4,0,2338,2534,1852,15123,1269.71,68.77,1270.09,68.77,2655.15,4240.0,82843,82383,460,124357938,290,290,0,0,2017-2018,January
45,PUNJAB,1529672,1465023,1043139,421,421463,766577,991642,765411,990117,220393,663684,809495,9515,1249,158052,5313499,505451,16990831,181,6268,2709,13979470,22310598,7029,0,201974,235374,159816,1652205,51250.36,9754.79,51374.71,10732.41,75440722.42,385367.0,1711839,1659595,52244,5101582289,43428,41925,1503,490326,2017-2018,January
46,RAJASTHAN,9930376,9752517,1820271,1809479,6122767,5030540,7677235,5027733,7670840,3877802,4514375,6531324,228084,12886,2598580,137698167,936054,50549401,979741,51526694,9030,156659657,239774262,53625,37447,1724320,2127926,1446500,23651482,329344.43,127294.22,330144.11,129103.09,188494464.97,4299119.0,12454261,12103390,350871,32563194070,1137548,1098622,38926,1194276,2017-2018,January
47,SIKKIM,81151,80867,3688,30016,47163,66411,78859,66392,78821,18878,63725,74257,3495,160,37174,2000875,2686,133039,23865,1326637,184,1662875,3460551,136,1340,14449,15411,12967,185112,7478.27,3674.34,7515.24,3708.48,47240012.53,56596.0,103975,103552,423,718357192,1144,1092,52,507822,2017-2018,January
48,TAMIL NADU,8082248,7964884,2142477,120284,5702123,5855644,6909924,5855204,6908938,4263631,5815061,6829325,150236,60983,4130044,165942942,1615148,70277640,69869,2660010,58155,204667615,238880592,52679,1181,799962,834809,709089,5413910,533758.28,61232.97,534184.27,61560.57,247326516.55,4405528.0,9640697,9638601,2096,52304642641,2,2,0,0,2017-2018,January
49,TRIPURA,611429,610821,107119,247374,256328,541071,749369,540926,749055,348936,522752,707277,4438,7619,204761,5901057,88858,2479933,229133,9222754,83074,8282927,17603744,290,3287,226852,259982,207335,2087791,30746.56,9789.7,30801.78,9944.83,36889855.58,1148396.0,1034208,1028550,5658,2934902044,39,32,7,0,2017-2018,January
50,UTTAR PRADESH,16224816,15471253,5076839,158396,10236018,5645572,7173245,5635855,7158764,5552091,4860128,6039999,42519,11348,3152831,117965241,1658142,61834986,49155,1722408,67529,63739134,181522635,14917,592,1526776,1792290,1310492,18894949,319343.47,101624.04,320358.71,103352.9,713600414.61,9919855.0,14892150,14628762,263388,30802100135,263217,249952,13265,465118,2017-2018,January
51,UTTARAKHAND,1066419,1041745,201978,39247,800520,552806,735422,552495,734845,396610,509595,662536,21766,987,403064,17452409,86105,3876158,20426,973775,3071,12145882,22302342,4186,1335,166116,194627,154505,2456477,41128.56,21048.66,41189.91,21103.15,5538414.4,908239.0,1150239,1110313,39926,3863370330,37489,36488,1001,78928943,2017-2018,January
52,WEST BENGAL,11959609,11717556,3092319,871340,7753897,5681755,9244989,5680009,9240828,8137350,5241167,8101182,557643,75173,3177939,188852043,1605687,97264883,457541,26438525,368984,148758601,312555451,176422,48704,2084370,2779908,2062944,34513839,589630.17,141507.7,593654.49,146048.05,186900745.98,14099259.0,16033002,14974253,1058749,58404322813,1525918,1382862,143056,332347220,2017-2018,January
53,Total,129025189,124923882,25885393,18075538,80962951,55885598,85644047,55756493,85317306,56404934,50160989,73200052,2751642,413160,29974649,1356394463,10489084,477796020,8162636,388468006,1868783,1180624066,2222658489,551233,558238,15405007,20557923,12747953,182782475,4146624.3,1574393.85,4172540.84,1642202.58,48455636269.37,88132264.0,130288952,124086755,6202197,383075195688,8740508,7788268,952240,4691811097,2017-2018,January
0,ANDAMAN AND NICOBAR,35318,35286,4,3931,31351,7692,9082,7689,9078,5565,7166,8397,27,22,6782,181361,0,0,384,9047,6,113498,190408,0,0,3063,3504,2624,32329,201.81,62.16,447.66,77.87,41284043.04,4178.0,37024,36400,624,29403117,107,107,0,4248,2017-2018,February
1,DADRA & NAGAR HAVELI,9141,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2017-2018,February
2,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,February
3,LAKSHADWEEP,8178,8008,9,7909,90,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2017-2018,February
4,NAGALAND,432644,428816,3657,410004,15155,385992,411435,384732,409164,9397,381176,404248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,57200,56569,631,197059206,6,6,0,17028,2017-2018,February
5,ANDHRA PRADESH,8641251,8641251,2096592,715563,5829096,4271447,7414542,4263134,7399560,7255974,3994718,6513082,594499,78052,2654921,143049831,962456,46826491,377341,22215441,832122,126490291,212091763,121222,78376,2225962,3514078,1178549,13714371,349900.64,257520.25,349996.73,258135.17,3927344.45,8750410.0,7453332,7453210,122,25934942237,991225,991225,0,2450640314,2017-2018,February
6,ARUNACHAL PRADESH,221215,219916,178,201726,18012,161946,172925,155743,165221,22252,141722,147964,2,447,14336,495678,119,3855,127267,3780869,5622,1552718,4280402,0,2,70852,73235,59989,930643,13498.44,7965.08,13674.81,8083.84,29203759.81,24382.0,226272,212309,13963,1058683825,5921,5572,349,13958640,2017-2018,February
7,ASSAM,4671142,4425753,257155,680217,3488381,1901375,2991751,1900571,2990598,732753,1684648,2604313,10928,7844,1302705,38566318,86703,2174127,295240,7345938,38291,18515230,48086383,307,1551,418451,528193,334143,3351034,92277.5,52126.43,93566.05,57072.98,68623681.86,1503101.0,4682785,4317867,364918,8594012574,402162,374538,27624,55322276,2017-2018,February
8,BIHAR,15896313,14833241,3652387,253562,10927292,2904668,3575580,2901632,3571907,1253422,2247235,2702189,15556,4486,1738430,63106947,471177,17299770,37628,1312896,69635,38052910,81719613,3823,221,607044,686110,419268,6184958,176060.33,96537.26,178216.34,100200.17,468158891.79,4846192.0,6692698,6260477,432221,16813486575,2845,2760,85,1992573,2017-2018,February
9,CHHATTISGARH,3833174,3701963,392391,1242097,2067475,2743316,5537036,2741465,5532714,4658431,2326446,4277448,323496,28100,1282368,63926537,233088,11587886,810990,44414886,26822,59611686,119929309,28004,134285,1104910,1914178,860812,13958846,193918.87,122145.26,194489.59,122885.81,45910338.74,4911480.0,6577975,6555360,22615,18292419820,269305,267479,1826,441502762,2017-2018,February
10,ANDAMAN AND NICOBAR,35514,35513,4,3934,31575,2573,2941,2534,2901,1355,2482,2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,34445,33591,854,4813210,206,205,1,0,2017-2018,February
11,DADRA & NAGAR HAVELI,14072,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.4,2467.0,2181,2172,9,0,0,0,0,0,2017-2018,February
12,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,February
13,LAKSHADWEEP,8178,8008,9,7909,90,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2017-2018,February
14,NAGALAND,432645,428835,3657,410023,15155,385880,411230,384555,408934,9388,381170,404241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,57183,56552,631,186972782,6,6,0,16684,2017-2018,February
15,ANDAMAN AND NICOBAR,35514,35513,4,3934,31575,2573,2941,2534,2901,1355,2482,2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,34445,33591,854,4813210,206,205,1,0,2017-2018,February
16,DADRA & NAGAR HAVELI,9141,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2017-2018,February
17,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,February
18,LAKSHADWEEP,8178,8008,9,7909,90,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2017-2018,February
19,NAGALAND,432644,428816,3657,410004,15155,385992,411435,384732,409164,9397,381176,404248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,57200,56569,631,197059206,6,6,0,17028,2017-2018,February
20,GOA,36821,33107,789,9592,22726,6579,6749,6536,6703,1256,6463,6624,6,3,4268,65954,186,4357,2009,29098,10,78224,99409,1,1,765,786,711,6189,233.58,45.7,243.75,46.1,697996.71,5180.0,19701,19458,243,23065779,5,5,0,0,2017-2018,February
21,GUJARAT,3648702,3533089,237694,1341582,1953813,1017117,1722431,1014988,1718219,762469,861167,1393801,11183,10283,436474,18487115,47147,2155742,377546,14665988,30809,14738278,35308845,864,4550,271468,387957,224059,3770960,63643.95,21334.24,63952.75,21723.02,186841163.34,1978363.0,2951544,2593677,357867,5924156326,636324,425354,210970,41135672,2017-2018,February
22,HARYANA,886781,885730,383850,76,501804,322027,494071,321624,493451,131592,272856,396050,3924,638,134599,4729233,138234,4307169,23,717,3924,4395377,9037119,1530,1,75758,103191,57842,716313,24827.87,5217.63,24875.99,5260.21,14586009.11,209161.0,1076455,1028679,47776,2580829099,25261,21927,3334,21045348,2017-2018,February
23,HIMACHAL PRADESH,1227036,1210914,324545,73942,812427,550764,736464,550633,736236,302089,511366,671046,14094,1439,333020,14198057,141952,6126270,36394,1681413,7943,13551403,22005740,3853,1545,161477,189239,138796,2084078,39578.27,13179.89,39581.69,13197.21,82318016.06,860628.0,1358787,1309078,49709,3873805294,9886,9667,219,4475686,2017-2018,February
24,JAMMU AND KASHMIR,1252366,1185529,76730,166115,942684,759419,1164694,758573,1163191,435315,682262,1011224,35961,5024,539803,29529787,38614,1861968,103845,5698667,5905,10409737,37090422,1703,5716,282616,385031,301918,6807295,63159.67,42790.77,66255.58,72168.22,244200484.8,686649.0,1657969,1652333,5636,5106168174,1165,1141,24,456778,2017-2018,February
25,JHARKHAND,4396694,4119647,483490,1407972,2228185,1876648,2712812,1875881,2711570,2805954,1444548,1908209,57524,7253,843857,35726580,163674,6549812,437017,16997969,17498,22129540,59274361,6527,16986,479821,599431,341964,4276592,99643.12,43110.37,100911.59,44679.88,89056842.53,4729795.0,3880152,3821494,58658,9116328776,543046,459451,83595,175431,2017-2018,February
26,KARNATAKA,5561963,5527003,935639,461382,4129982,2152259,4624032,2092005,4423358,1449295,1902386,3890970,29985,8244,1406739,63512566,321855,14207804,173792,7979099,45194,40391589,85699469,4540,2367,444704,743774,357806,6175574,201682.07,88212.8,203321.13,93563.9,43236293964.98,4831294.0,9286803,8580282,706521,18806599854,252985,135390,117595,0,2017-2018,February
27,KERALA,3348230,3335989,418010,110489,2807490,1470071,1672181,1469970,1672016,2041510,1311681,1471107,117370,1771,1046459,48884589,208582,10035604,56640,3039257,20753,56236206,61959450,18062,6609,893303,963836,829774,9740186,163073.4,13361.47,163091.64,13530.94,124893463.74,2486977.0,3183690,3172473,11217,15866290171,50605,50527,78,70646347,2017-2018,February
28,ANDAMAN AND NICOBAR,35514,35513,4,3934,31575,2573,2941,2534,2901,1355,2482,2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,34445,33591,854,4813210,206,205,1,0,2017-2018,February
29,DADRA & NAGAR HAVELI,9141,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2017-2018,February
30,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,February
31,LAKSHADWEEP,8182,8002,9,7902,91,251,253,220,221,93,141,142,1,4,1,13,0,0,140,5884,0,1189,5897,0,1,67,67,29,372,13.63,1.59,13.63,1.68,1135.59,893.0,3431,3419,12,1362513,4181,4168,13,0,2017-2018,February
32,NAGALAND,432645,428835,3657,410023,15155,385880,411230,384555,408934,9388,381170,404241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,57183,56552,631,186972782,6,6,0,16684,2017-2018,February
33,MADHYA PRADESH,6819256,6701624,1136316,2184084,3381224,4017833,7654649,4005051,7623930,5491040,3480571,6098330,134691,57967,1722362,83835040,573342,27156840,1184867,51254322,59050,60635803,162246202,23364,28747,1027386,1514396,845424,11115251,272088.01,130572.95,272512.05,131240.3,1382848631.93,7383541.0,9265181,7912032,1353149,24620178583,303656,249741,53915,352462423,2017-2018,February
34,MAHARASHTRA,8943238,8417902,804545,1164780,6448577,1874365,3634010,1871573,3627840,1787333,1697606,3139897,201459,19786,1200670,57986099,172372,7987841,324564,16558188,50796,37538984,82532128,17784,42711,608397,1116530,528921,9163223,156298.66,60061.71,157240.24,66368.98,719010949.87,4132257.0,6220217,5695126,525091,14845620243,1297082,1266442,30640,317545319,2017-2018,February
35,MANIPUR,550053,548209,15049,245826,287334,501231,546513,498789,543405,121275,491026,527178,1,1154,241793,3239458,14331,194630,234902,2690861,601,2745172,6124949,0,0,145635,148432,138332,616882,11456.07,6792.4,11497.76,6800.43,13438668.29,134384.0,484986,461775,23211,708880592,26901,23292,3609,278256,2017-2018,February
36,MEGHALAYA,538000,534342,3882,497404,33056,436284,607828,436180,607691,286889,426881,591429,114987,605,26839,1442243,2985,161362,397057,27583952,4074,13660618,29187557,212,112429,155459,187493,175347,3191598,72484.27,36585.45,72489.65,36756.03,7439736.66,271201.0,488176,394724,93452,4529196091,5077,4673,404,4807016,2017-2018,February
37,MIZORAM,191326,191322,38,189848,1436,190930,207357,190920,207340,93601,190894,207234,0,113,1315,90587,35,2546,189544,14345025,3418,4899110,14438158,0,0,85835,85837,85443,609940,17162.12,2107.3,17495.2,2118.33,2219408.27,111936.0,210957,196679,14278,1589658222,2,2,0,0,2017-2018,February
38,ANDAMAN AND NICOBAR,35514,35513,4,3934,31575,2573,2941,2534,2901,1355,2482,2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,34445,33591,854,4813210,206,205,1,0,2017-2018,February
39,DADRA & NAGAR HAVELI,9141,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2017-2018,February
40,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,February
41,LAKSHADWEEP,8178,8008,9,7909,90,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2017-2018,February
42,NAGALAND,431925,431478,3731,412269,15478,413820,461679,412990,460839,20517,409757,453580,138,119,15232,680700,3621,211283,390904,19111258,265,5753281,20003241,0,131,358804,359803,254227,3451880,58371.59,35423.63,63274.38,38883.47,14700132.5,57242.0,166574,164666,1908,1465189966,203,203,0,60452,2017-2018,February
43,ODISHA,6378365,6326950,1141842,1723627,3461481,2568248,4430118,2564701,4422709,3885990,2306678,3754645,68070,9328,1133129,43049076,398970,15292995,774579,33869177,53262,38600044,92211248,10149,28123,730547,1092155,672740,10177539,173100.62,63244.32,174899.32,63785.79,178547800.71,4983954.0,6870566,6531376,339190,15690771589,884557,664467,220090,501300427,2017-2018,February
44,PUDUCHERRY,66136,63838,18012,89,45737,42856,49471,42850,49461,1638,37664,41448,20,73,26102,484461,11510,240797,52,983,47,627017,726241,4,0,8521,9275,6902,51647,1269.71,68.77,1270.09,68.77,2655.15,4240.0,82843,82383,460,124357938,290,290,0,0,2017-2018,February
45,PUNJAB,1529672,1465023,1043139,421,421463,766577,991642,765411,990117,220393,663684,809495,9515,1249,158052,5313499,505451,16990831,181,6268,2709,13979470,22310598,7029,0,192481,223313,151050,1477766,51250.36,9754.79,51374.71,10732.41,75440722.42,385367.0,1711839,1659595,52244,5101582289,43428,41925,1503,490326,2017-2018,February
