,state_name,total_households_applied_for_job_card,total_job_cards_issued,total_job_cards_(sc),total_job_cards_(st),total_job_cards_(non-sc/st),total_households_demanded_work,total_persons_demanded_work,total_households_allotted_work,total_persons_allotted_work,total_muster_rolls_filled,total_households_worked,total_persons_worked,total_households_reached_100_day_limit,total_persons_with_disability,total_households_worked_(non-sc/st),total_person-days_worked_(non-sc/st),total_sc_households_worked,total_person-days_worked_by_scs,total_st_households_worked,total_person-days_worked_by_sts,total_land_reform/iay_households_worked,total_person-days_worked_by_women,total_person-days,total_sc_households_over_100_day_limit,total_st_households_over_100_day_limit,total_households_demanded_work,total_persons_demanded_work,total_households_worked,total_persons_worked,"labour_exp._(disbursed,_rs._in_lakhs)","material_exp._(disbursed,_rs._in_lakhs)","labour_exp._(disbursed_+_pending,_rs._in_lakhs)","material_exp._(disbursed_+_pending,_rs._in_lakhs)",amount_sanctioned_(rs._in_lakhs),total_works,total_bank_accounts,total_individual_bank_accounts,total_joint_bank_accounts,amount_disbursed_to_bank_accounts,total_post_office_accounts,total_individual_post_office_accounts,total_joint_post_office_accounts,amount_disbursed_to_post_office_accounts,year,month
38,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,5956,6437,6834,89693,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,January
39,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,January
40,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,January
41,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,482,489,653,12720,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,January
42,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,241361,242474,236289,2935390,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,January
43,ODISHA,6163936,6151353,1173057,1735153,3243143,1391497,2631257,1391457,2631165,969065,1378597,2597613,47629,3252,620946,20113621,247318,7933674,510333,17327256,21054,17562813,45374551,8427,21095,303743,500986,279310,4112691,55922.37,41120.93,55929.37,41123.41,579808.45,1121729.0,2798831,2145749,653082,2870403011,1727533,1009888,717645,2454529346,2011-2012,January
44,PUDUCHERRY,66941,66549,18858,73,47618,42554,51355,42554,51354,4261,42546,51253,202,32,28972,705636,13532,372216,42,1011,15,867970,1078863,53,0,793,877,790,4860,1004.08,0.0,1251.59,0.0,17828.89,5043.0,43593,43125,468,75169392,1,1,0,714,2011-2012,January
45,PUNJAB,880093,875811,667334,266,208211,246104,291981,246056,291917,74696,245453,290980,3786,201,48925,1455815,196452,4993821,76,2145,1208,2787758,6451781,2704,3,23485,25691,24139,291187,9103.29,5764.96,9114.72,5788.72,7462293.82,81638.0,418320,342071,76249,481262430,214595,184813,29782,285028827,2011-2012,January
46,RAJASTHAN,10022207,10006479,1665707,1653372,6687400,4705748,6500465,4705469,6498680,2663566,4522234,6188067,335621,3143,2728400,123284462,802562,36399790,991272,52370887,7581,146979926,212055139,54679,99195,1478919,1685750,1253774,18145557,184904.29,96229.64,185071.45,97316.2,16292438.07,1533795.0,4687921,3716157,971764,11229537189,4517609,4227258,290351,8515372171,2011-2012,January
47,SIKKIM,80444,80246,4077,29414,46755,55839,72592,55748,72476,10661,54684,71096,8746,91,32015,1951868,2583,148978,20086,1187068,92,1471441,3287914,332,3097,17016,19769,19003,358189,2843.99,1422.65,3765.13,2666.08,1507309.92,21941.0,47033,37652,9381,231516528,30755,26662,4093,134594439,2011-2012,January
48,TAMIL NADU,8419826,8371307,2239028,133854,5998425,6375637,9807662,6373922,9804557,681767,6343339,9733544,602619,41319,4472611,209762584,1779520,87959409,91208,3852578,72096,223597433,301574571,189734,7267,2748179,3546581,2758133,25369341,278482.15,0.02,278643.88,0.02,164777140.87,527190.0,3741311,3703871,37440,0,553,297,256,0,2011-2012,January
49,TRIPURA,603959,603777,110648,233709,259420,567101,1058381,567094,1058347,872690,566770,1055186,199503,12895,238495,19584758,104574,8817804,223701,20571092,99914,18958202,48973654,28252,110226,330531,411132,332485,4186123,57785.28,28835.78,57869.65,29067.63,520599.14,577986.0,507487,166127,341360,4255720015,163926,68200,95726,1337118235,2011-2012,January
50,UTTAR PRADESH,15120532,14923531,4713324,160455,10049752,7363574,9341810,7362347,9340156,4354362,7327738,9285730,309033,17530,4805084,176393359,2437931,87632247,84723,3310384,43932,45932853,267335990,101846,5060,1394822,1579104,1416941,17208326,315134.13,156440.47,321488.63,159569.53,9908340139.28,7620149.0,11857030,10824034,1032996,28394716463,1103527,1032963,70564,2634418598,2011-2012,January
51,UTTARAKHAND,1037940,1031941,213266,37444,781231,471192,557019,471014,556959,301900,469285,554130,22324,415,369654,15660115,85167,3667187,14464,570409,1915,8893264,19897711,4542,744,99091,106717,123556,1954915,22739.53,13407.11,24179.89,13668.81,73162700.55,283171.0,356449,338128,18321,946704875,195926,185940,9986,642418853,2011-2012,January
52,WEST BENGAL,11226851,11223660,3172556,873837,7177267,5532363,8051066,5531559,8048941,3202135,5516968,8019552,119604,98371,3209904,83790030,1791155,50289277,515909,15514426,411211,48623882,149593733,42204,14976,2204732,2857505,2195044,23031855,182058.69,78794.35,186340.47,80164.07,1017005282729160.0,2119103.0,3026456,2472566,553890,6631387595,4914067,4090281,823786,10244023301,2011-2012,January
